D:\Masters\Sem1\DAA\Project1\Project1B>echo "Harikrishna Sappidi"
"Harikrishna Sappidi"

D:\Masters\Sem1\DAA\Project1\Project1B>python Pro1.py
--------- Merge Sort Output ---------
20000 , 287232 , 78
20000 , 287232 , 62
20000 , 287232 , 63
20000 , 287232 , 62
40000 , 614464 , 141
40000 , 614464 , 141
40000 , 614464 , 140
40000 , 614464 , 125
80000 , 1308928 , 297
80000 , 1308928 , 297
80000 , 1308928 , 281
80000 , 1308928 , 297
160000 , 2777856 , 594
160000 , 2777856 , 594
160000 , 2777856 , 640
160000 , 2777856 , 610
320000 , 5875712 , 1203
320000 , 5875712 , 1281
320000 , 5875712 , 1328
320000 , 5875712 , 1297
--------- Three Way Merge Sort Output ---------
20000 , 185280 , 63
20000 , 185280 , 62
20000 , 185280 , 78
20000 , 185280 , 63
40000 , 395530 , 140
40000 , 395530 , 125
40000 , 395530 , 141
40000 , 395530 , 156
80000 , 862236 , 328
80000 , 862236 , 328
80000 , 862236 , 329
80000 , 862236 , 328
160000 , 1756248 , 609
160000 , 1756248 , 594
160000 , 1756248 , 625
160000 , 1756248 , 594
320000 , 3809024 , 1468
320000 , 3809024 , 1391
320000 , 3809024 , 1422
320000 , 3809024 , 1390
--------- Heap Sort Output ---------
20000 , 493298 , 94
20000 , 59994 , 16
20000 , 510475 , 94
20000 , 529078 , 109
40000 , 1067725 , 203
40000 , 119994 , 16
40000 , 1101627 , 218
40000 , 1138257 , 219
80000 , 2292812 , 422
80000 , 239994 , 31
80000 , 2363214 , 469
80000 , 2437130 , 469
160000 , 4906721 , 937
160000 , 479994 , 78
160000 , 5045759 , 1032
160000 , 5197154 , 984
320000 , 10450529 , 2000
320000 , 959994 , 156
320000 , 10732009 , 2188
320000 , 11040499 , 2062
--------- Insertion Sort Output ---------
20000 , 199990000 , 16188
20000 , 19999 , 15
20000 , 100550401 , 8187
20000 , 19999 , 16
40000 , 799979992 , 64375
40000 , 39999 , 16
40000 , 399780117 , 32718
40000 , 39999 , 16
80000 , 3199959914 , 259047
80000 , 79999 , 15
80000 , 1592870996 , 135063
80000 , 79999 , 15
160000 , 12799919284 , 1049391
160000 , 159999 , 31
160000 , 6411201713 , 562625
160000 , 159999 , 16
320000 , 51199834965 , 4210922
320000 , 319999 , 46
320000 , 25630496119 , 2301969
320000 , 319999 , 47
